页签,序号,项目名称,分类,上游地址,status,url_type,actual_url,stars,forks,watchers,open_issues_count,total_pull_requests,language,license,created_at,updated_at,pushed_at,size_kb,default_branch,topics,fork,archived,mirror_url,has_issues,note
昇腾,19,OpenRLHF,训练加速,https://github.com/OpenRLHF/OpenRLHF,valid,repo,,9332,914,51,320,465,Python,Apache-2.0,2023-07-30T02:20:13Z,2026-04-10T07:18:45Z,2026-04-08T07:24:05Z,4038,main,"large-language-models,openai-o1,proximal-policy-optimization,raylib,reinforcement-learning,reinforcement-learning-from-human-feedback,transformers,vllm",False,False,,True,
昇腾,20,veRL,训练加速,https://github.com/volcengine/verl,valid,repo,https://github.com/verl-project/verl,20563,3615,89,1947,3522,Python,Apache-2.0,2024-10-31T06:11:15Z,2026-04-10T07:29:20Z,2026-04-10T04:15:31Z,20574,main,,False,False,,True,
昇腾,21,ChatLearn,训练加速,https://github.com/alibaba/ChatLearn,valid,repo,,452,39,18,24,358,Python,Apache-2.0,2023-08-16T03:51:28Z,2026-03-24T14:46:05Z,2025-10-23T06:33:12Z,7257,main,,False,False,,True,
昇腾,22,OpenMMLab,训练加速,https://github.com/open-mmlab,valid,org,,,,,,,,,,,,,,,,,,,
昇腾,23,ModelScope,推理加速,https://github.com/modelscope,valid,org,,,,,,,,,,,,,,,,,,,
昇腾,24,ComfyUI,推理加速,https://github.com/comfyanonymous/ComfyUI,valid,repo,https://github.com/Comfy-Org/ComfyUI,108302,12537,695,3951,3645,Python,GPL-3.0,2023-01-17T03:15:56Z,2026-04-10T07:39:56Z,2026-04-10T04:09:15Z,86773,master,"ai,comfy,comfyui,python,pytorch,stable-diffusion",False,False,,True,
昇腾,25,DeepSpeed,训练加速,https://github.com/deepspeedai/DeepSpeed,valid,repo,,42028,4779,354,1290,3698,Python,Apache-2.0,2020-01-23T18:35:18Z,2026-04-10T07:39:03Z,2026-04-09T07:04:13Z,245716,master,"billion-parameters,compression,data-parallelism,deep-learning,gpu,inference,machine-learning,mixture-of-experts,model-parallelism,pipeline-parallelism,pytorch,trillion-parameters,zero",False,False,,True,
昇腾,26,OpenCV,推理加速,https://github.com/opencv/opencv,valid,repo,,87017,56544,2622,2744,17080,C++,Apache-2.0,2012-07-19T09:40:17Z,2026-04-10T07:08:16Z,2026-04-09T16:15:03Z,554823,4.x,"c-plus-plus,computer-vision,deep-learning,image-processing,opencv",False,False,,True,
昇腾,27,ONNXRuntime,推理加速,https://github.com/microsoft/onnxruntime,valid,repo,,19816,3818,262,1352,18774,C++,MIT,2018-11-10T02:22:53Z,2026-04-10T07:23:32Z,2026-04-10T05:30:03Z,1535654,main,"ai-framework,deep-learning,hardware-acceleration,machine-learning,neural-networks,onnx,pytorch,scikit-learn,tensorflow",False,False,,True,
昇腾,28,llama.cpp,推理加速,https://github.com/ggml-org/llama.cpp,valid,repo,,102862,16631,673,1442,10817,C++,MIT,2023-03-10T18:58:00Z,2026-04-10T07:42:58Z,2026-04-10T07:31:41Z,371996,master,ggml,False,False,,True,
昇腾,29,whisper,推理加速,https://github.com/ggerganov/whisper.cpp,valid,repo,https://github.com/ggml-org/whisper.cpp,48447,5389,364,1165,1306,C++,MIT,2022-09-25T18:26:37Z,2026-04-10T07:39:45Z,2026-03-29T12:04:40Z,33867,master,"inference,openai,speech-recognition,speech-to-text,transformer,whisper",False,False,,True,
昇腾,30,wenet,推理加速,https://github.com/wenet-e2e/wenet,valid,repo,,5077,1182,91,20,1594,Python,Apache-2.0,2020-11-17T03:57:23Z,2026-04-09T14:30:42Z,2026-03-31T04:14:09Z,25702,main,"asr,automatic-speech-recognition,conformer,e2e-models,production-ready,pytorch,speech-recognition,transformer,whisper",False,False,,True,
