页签,序号,项目名称,分类,上游地址,仓库是否删除,entity_type
鲲鹏,117,Spring Cloud,Web,https://github.com/spring-cloud,,organization
鲲鹏,118,Dubbo,Web,https://github.com/apache/dubbo,,repo
鲲鹏,119,Squid,Web,https://github.com/squid-cache/squid,,repo
鲲鹏,120,Glassfish,Web,https://github.com/eclipse-ee4j/glassfish,,repo
鲲鹏,121,Node.js,Web,https://github.com/nodejs/node,,repo
鲲鹏,122,chromium,Web,https://chromium.googlesource.com/chromium,,repo
鲲鹏,123,Django,Web,https://github.com/django/django,,repo
鲲鹏,124,fcgi,Web,https://github.com/FastCGI-Archives/fcgi2,,repo
鲲鹏,125,Mongoose,Web,https://github.com/Automattic/mongoose,,repo
鲲鹏,126,Nagios,Web,https://github.com/NagiosEnterprises/nagioscore,,repo
鲲鹏,127,uWSGI,Web,https://github.com/unbit/uwsgi,,repo
鲲鹏,128,Spring Framework,Web,https://github.com/spring-projects/spring-framework,,repo
鲲鹏,129,Spring Boot,Web,https://github.com/spring-projects/spring-boot,,repo
鲲鹏,130,Tengine,Web,https://github.com/alibaba/tengine,,repo
鲲鹏,131,LVS,Web,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git,,unknown
鲲鹏,132,MySQL,数据库,https://github.com/mysql/mysql-server,,repo
鲲鹏,133,MariaDB,数据库,https://github.com/MariaDB/server,,repo
鲲鹏,134,PostgreSQL,数据库,https://git.postgresql.org/git/postgresql.git,,repo
鲲鹏,135,MongoDB,数据库,https://github.com/mongodb/mongo,,repo
鲲鹏,136,RocksDB,数据库,https://github.com/facebook/rocksdb,,repo
鲲鹏,137,TiDB,数据库,https://github.com/pingcap/tidb,,repo
鲲鹏,138,InfluxDB,数据库,https://github.com/influxdata/influxdb,,repo
鲲鹏,139,SQLite,数据库,https://sqlite.org/src,,repo
鲲鹏,140,Cassandra,数据库,https://github.com/apache/cassandra,,repo
鲲鹏,141,etcd,数据库,https://github.com/etcd-io/etcd,,repo
鲲鹏,142,LevelDB,数据库,https://github.com/google/leveldb,,repo
鲲鹏,143,OrientDB,数据库,https://github.com/orientechnologies/orientdb,,repo
鲲鹏,144,Neo4j,数据库,https://github.com/neo4j/neo4j,,repo
鲲鹏,145,gcc,基础库&加速库,https://github.com/gcc-mirror/gcc,,repo
鲲鹏,146,OpenJDK,基础库&加速库,https://github.com/openjdk/jdk,,repo
鲲鹏,147,CMake,基础库&加速库,https://gitlab.kitware.com/cmake/cmake,,repo
鲲鹏,148,Clang,基础库&加速库,https://github.com/llvm/llvm-project,,repo
鲲鹏,149,GDB,基础库&加速库,https://ftp.gnu.org/gnu/gdb/,,repo
鲲鹏,150,Maven,基础库&加速库,https://github.com/apache/maven,,repo
鲲鹏,151,Ant,基础库&加速库,https://github.com/apache/ant,,repo
鲲鹏,152,Scala,基础库&加速库,https://github.com/scala/scala,,repo
鲲鹏,153,Python,基础库&加速库,https://github.com/python,,organization
鲲鹏,154,Golang,基础库&加速库,https://github.com/golang/go,,repo
鲲鹏,155,Lua,基础库&加速库,https://www.lua.org/source/,,repo
鲲鹏,156,Perl,基础库&加速库,https://github.com/Perl/perl5,,repo
鲲鹏,157,Ruby,基础库&加速库,https://github.com/ruby/ruby,,repo
鲲鹏,158,R,基础库&加速库,https://svn.r-project.org/R/,,repo
鲲鹏,159,Gradle,基础库&加速库,https://github.com/gradle/gradle,,repo
鲲鹏,160,Erlang,基础库&加速库,https://github.com/erlang/otp,,repo
鲲鹏,161,Google Test,基础库&加速库,https://github.com/google/googletest,,repo
鲲鹏,162,SKLearn,基础库&加速库,https://github.com/scikit-learn/scikit-learn,,repo
鲲鹏,163,APR-util,基础库&加速库,https://github.com/apache/apr-util,,repo
鲲鹏,164,TypeScript,基础库&加速库,https://github.com/microsoft/TypeScript,,repo
鲲鹏,165,Git,基础库&加速库,https://github.com/git/git,,repo
鲲鹏,166,Jenkins,基础库&加速库,https://github.com/jenkinsci/jenkins,,repo
鲲鹏,167,npm,基础库&加速库,https://github.com/meteorhacks/npm,,repo
鲲鹏,168,catj,基础库&加速库,https://github.com/soheilpro/catj,,repo
鲲鹏,169,bcrypt,基础库&加速库,https://github.com/pyca/bcrypt,,repo
鲲鹏,170,busybox,基础库&加速库,https://github.com/mirror/busybox,,repo
鲲鹏,171,Expat,基础库&加速库,https://github.com/libexpat/libexpat,,repo
鲲鹏,172,FlatBuffers,基础库&加速库,https://github.com/google/flatbuffers,,repo
鲲鹏,173,GMP,基础库&加速库,https://gmplib.org/repo/,,unknown
鲲鹏,174,Hiredis,基础库&加速库,https://github.com/redis/hiredis,,repo
鲲鹏,175,libmpc,基础库&加速库,http://www.multiprecision.org/,,unknown
鲲鹏,176,Libxml2,基础库&加速库,https://gitlab.gnome.org/GNOME/libxml2,,repo
鲲鹏,177,MPFR,基础库&加速库,https://gitlab.inria.fr/mpfr/mpfr,,repo
鲲鹏,178,Next.js,基础库&加速库,https://github.com/vercel/next.js,,repo
鲲鹏,179,pcre,基础库&加速库,https://github.com/PCRE2Project/pcre2,,repo
鲲鹏,180,PHP,基础库&加速库,https://github.com/php/php-src,,repo
鲲鹏,181,React,基础库&加速库,https://github.com/facebook/react,,repo
鲲鹏,182,Rinetd,基础库&加速库,https://github.com/samhocevar/rinetd,,repo
鲲鹏,183,SCons,基础库&加速库,https://github.com/SCons/scons,,repo
